Models,C-Index
"('pki_deep', 'pki_mlt-le-gin')",0.5882880343496164
"('pki_deep', 'pki_mlt-le-gcn')",0.5817658203174569
"('pki_deep', 'pic50_mlt-le-gin')",0.5625385223918312
"('pki_deep', 'pic50_mlt-le-gcn')",0.5645829376724075
"('pki_ginconvnet', 'pic50_gat_gcn')",0.5508254815012903
"('pki_ginconvnet', 'pic50_ginconvnet')",0.5520372547169142
"('pki_ginconvnet', 'pki_gat_gcn')",0.5803776510596957
"('pki_ginconvnet', 'pkd_gcnnet')",0.5510116175184641
"('pki_ginconvnet', 'pkd_mlt-le-gin')",0.5415132589291585
"('pki_ginconvnet', 'pkd_mlt-le-gcn')",0.5472805067332156
"('pki_ginconvnet', 'pki_mlt-le-gin')",0.5556586048188963
"('pki_ginconvnet', 'pki_mlt-le-gcn')",0.562530645069729
"('pki_ginconvnet', 'pic50_mlt-le-gin')",0.5339597659181374
"('pki_ginconvnet', 'pic50_mlt-le-gcn')",0.5443525231288009
"('pic50_gat_gcn', 'pic50_ginconvnet')",0.5993948006120875
"('pic50_gat_gcn', 'pki_gat_gcn')",0.5745472704153003
"('pic50_gat_gcn', 'pkd_gcnnet')",0.5778547000290533
"('pic50_gat_gcn', 'pkd_mlt-le-gin')",0.5525826698333784
"('pic50_gat_gcn', 'pkd_mlt-le-gcn')",0.5861813206040173
"('pic50_gat_gcn', 'pki_mlt-le-gin')",0.5496374875617271
"('pic50_gat_gcn', 'pki_mlt-le-gcn')",0.5583945016378481
"('pic50_gat_gcn', 'pic50_mlt-le-gin')",0.5538037153883618
"('pic50_gat_gcn', 'pic50_mlt-le-gcn')",0.5554300321570907
"('pic50_ginconvnet', 'pki_gat_gcn')",0.5594877791613855
"('pic50_ginconvnet', 'pkd_gcnnet')",0.5581119896584653
"('pic50_ginconvnet', 'pkd_mlt-le-gin')",0.5442593388129185
"('pic50_ginconvnet', 'pkd_mlt-le-gcn')",0.5536546311459596
"('pic50_ginconvnet', 'pki_mlt-le-gin')",0.5474616557364481
"('pic50_ginconvnet', 'pki_mlt-le-gcn')",0.5557776896553345
"('pic50_ginconvnet', 'pic50_mlt-le-gin')",0.561815241672585
"('pic50_ginconvnet', 'pic50_mlt-le-gcn')",0.5629130938880966
"('pki_gat_gcn', 'pkd_gcnnet')",0.5834630745021806
